WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                   5 [PC] pc :          0
                  65 [PC] pc :          4
                  75 [PC] pc :          8
                  85 [PC] pc :         12
                  95 [PC] pc :         16
                 105 [PC] pc :         20
                 115 [PC] pc :         24
                 125 [PC] pc :         28
                 135 [PC] pc :         32
                 145 [PC] pc :         36
                 155 [PC] pc :         40
                 175 [PC] pc :         44
                 185 [PC] pc :         48
                 195 [PC] pc :         52
                 205 [PC] pc :         56
                 215 [PC] pc :         60
                 225 [PC] pc :         64
                 245 [PC] pc :         68
                 255 [PC] pc :         72
                 265 [PC] pc :         76
                 275 [PC] pc :         80
                 295 [PC] pc :         84
                 315 [PC] pc :         88
                 335 [PC] pc :         92
                 345 [PC] pc :         84
                 355 [PC] pc :         88
                 365 [PC] pc :         92
                 375 [PC] pc :         96
                 385 [PC] pc :         88
                 395 [PC] pc :         92
                 405 [PC] pc :         96
                 415 [PC] pc :         88
                 425 [PC] pc :         92
                 435 [PC] pc :         96
                 445 [PC] pc :         88
                 455 [PC] pc :         92
                 465 [PC] pc :         96
                 475 [PC] pc :         88
                 485 [PC] pc :         92
                 495 [PC] pc :         96
                 505 [PC] pc :         88
                 515 [PC] pc :         92
                 525 [PC] pc :         96
                 535 [PC] pc :         88
                 545 [PC] pc :         92
                 555 [PC] pc :         96
                 565 [PC] pc :         88
                 575 [PC] pc :         92
                 585 [PC] pc :         96
                 595 [PC] pc :         88
                 605 [PC] pc :         92
                 615 [PC] pc :         96
                 625 [PC] pc :         88
                 635 [PC] pc :         92
                 645 [PC] pc :         96
                 655 [PC] pc :         88
                 665 [PC] pc :         92
                 675 [PC] pc :         96
                 685 [PC] pc :         88
                 695 [PC] pc :         92
                 705 [PC] pc :         96
                 715 [PC] pc :         88
                 725 [PC] pc :         92
                 735 [PC] pc :         96
                 745 [PC] pc :         88
                 755 [PC] pc :         92
                 765 [PC] pc :         96
                 775 [PC] pc :         88
                 785 [PC] pc :         92
                 795 [PC] pc :         96
                 805 [PC] pc :         88
                 815 [PC] pc :         92
                 825 [PC] pc :         96
                 835 [PC] pc :         88
                 845 [PC] pc :         92
                 855 [PC] pc :         96
                 865 [PC] pc :         88
                 875 [PC] pc :         92
                 885 [PC] pc :         96
                 895 [PC] pc :         88
                 905 [PC] pc :         92
                 915 [PC] pc :         96
                 925 [PC] pc :         88
                 935 [PC] pc :         92
                 945 [PC] pc :         96
                 955 [PC] pc :         88
                 965 [PC] pc :         92
                 975 [PC] pc :         96
                 985 [PC] pc :         88
